醮-蘸	桌子上依旧放着文件夹，[醮]水笔；文件夹平摊着，仿佛主人随时会来办公似的	桌子上依旧放着文件夹，[蘸]水笔；文件夹平摊着，仿佛主人随时会来办公似的
按奈-按捺	周鸿祎[按奈]不住内心的焦虑与恐慌，主动找到百度谈合作	周鸿祎[按捺]不住内心的焦虑与恐慌，主动找到百度谈合作
按装-安装	"县里的[按装]队早就到了,谁知发生了这一意外情况,只能推迟开工"	"县里的[安装]队早就到了,谁知发生了这一意外情况,只能推迟开工"
必需-必须	[必需]努力学习	[必须]努力学习
不单-不但	蒙古人[不单]获得了一城一池的领土，更撒播了“恐怖”的种子	蒙古人[不但]获得了一城一池的领土，更撒播了“恐怖”的种子
沉缅-沉湎	游手好闲，不思进取，后来又[沉缅]于赌博而不能自拔，终于走上了一条不归路	游手好闲，不思进取，后来又[沉湎]于赌博而不能自拔，终于走上了一条不归路
凑和-凑合	这东西不好讲，大家[凑和]一看	这东西不好讲，大家[凑合]一看
凑和-凑合	这块表虽说款式陈旧，但走时还挺准的，你就[凑和]着用吧	这块表虽说款式陈旧，但走时还挺准的，你就[凑合]着用吧
粗旷-粗犷	自小生长在山区，黝黑的脸庞，宽阔的肩背，透露出内心的[粗旷]	自小生长在山区，黝黑的脸庞，宽阔的肩背，透露出内心的[粗犷]
打腊-打蜡	在街的转角处，有一家刚开张的小店，门口竖着一块牌子，上面写的是：“汽车[打腊]”	在街的转角处，有一家刚开张的小店，门口竖着一块牌子，上面写的是：“汽车[打蜡]”
当做-当作	那时候我把遇见他[当做]生命里唯一欣慰的事情，当做活下去的理由	那时候我把遇见他当做生命里唯一欣慰的事情，[当作]活下去的理由
渡过-度过	[渡过]这段时光	[度过]这段时光
防碍-妨碍	造这堵围墙，是考虑小区的安全，谁知事与愿违，却[防碍]了救护车的通行	造这堵围墙，是考虑小区的安全，谁知事与愿违，却[妨碍]了救护车的通行
幅射-辐射	立足市场，兼顾农村，[幅射]沿海，走向世界——这是会议定下的基本方针	立足市场，兼顾农村，[辐射]沿海，走向世界——这是会议定下的基本方针
工夫-功夫	学习C++花了我很大的[工夫]	学习C++花了我很大的[功夫]
观摹-观摩	[观摹]大会	[观摩]大会
寒喧-寒暄	一天，英王乔治六世拜访肖伯纳，因为兴趣爱好和文化修养不同，两人[寒喧]之后很快沉默无言	一天，英王乔治六世拜访肖伯纳，因为兴趣爱好和文化修养不同，两人[寒暄]之后很快沉默无言
好象-好像	看外观[好象]是很普通的	看外观[好像]是很普通的
既使-即使	时间只剩下十天了，但[既使]前面是刀山火海，我们也要保证完成任务	时间只剩下十天了，但[即使]前面是刀山火海，我们也要保证完成任务
结帐-结账	喝的差不多了人家来[结帐]	喝的差不多了人家来[结账]
借走-节奏	生活是一首歌，吟唱着人生的[借走]和旋律	生活是一首歌，吟唱着人生的[节奏]和旋律
精萃-精粹	售书亭琳琅满目，一本本刊物争奇斗艳，其中有一本集中报道“都市[精萃]”，尤为夺人眼球	售书亭琳琅满目，一本本刊物争奇斗艳，其中有一本集中报道“都市[精粹]”，尤为夺人眼球
痉孪-痉挛	没等来人把话说完，陈强一阵[痉孪]，不由自主地瘫坐到了地上	没等来人把话说完，陈强一阵[痉挛]，不由自主地瘫坐到了地上
九洲-九州	“月儿弯弯照[九洲]，几家欢乐几家愁”，妈妈在月色之下，轻轻哼着古老的曲子。	“月儿弯弯照[九州]，几家欢乐几家愁”，妈妈在月色之下，轻轻哼着古老的曲子。
峻工-竣工	入秋以后，工程速度明显加快，如材料能跟上，下月即可[峻工]	入秋以后，工程速度明显加快，如材料能跟上，下月即可[竣工]
兰天-蓝天	羊群在静静地吃草，我躺在草地上，仰望[兰天]白云，任思绪随着云朵飘向远方	羊群在静静地吃草，我躺在草地上，仰望[蓝天]白云，任思绪随着云朵飘向远方
了望-瞭望	村前有一棵大树，大树前是一条望不到头的路，每天都有人爬到树上向远方[了望]	村前有一棵大树，大树前是一条望不到头的路，每天都有人爬到树上向远方[瞭望]
罗嗦-啰嗦	从抽查的情况看，多数是文字干巴，缺乏文采，但也有行文[罗嗦]、不知节制的例子	从抽查的情况看，多数是文字干巴，缺乏文采，但也有行文[啰嗦]、不知节制的例子
