分-份	听了这[分]报告，我们懂得了许多道理	听了这[份]报告，我们懂得了许多道理
噶-的	这个是同事[噶]	这个是同事[的]
壕-毫	[壕]无亮点	[毫]无亮点
那-哪	我上[那]猜啊	我上[哪]猜啊
丫-呀	幸福[丫]	幸福[呀]
在-再	"你得先做完作业,[在]出去玩"	"你得先做完作业,[再]出去玩"
按装-安装	我把家里的橱柜[按装]上了	我把家里的橱柜[安装]上了
捌杖-拐杖	拄着[捌杖]来到老友家做客	拄着[拐杖]来到老友家做客
报道-报导	这个记者[报道]得有错误啊	这个记者[报导]得有错误啊
奔赶-奔赴	[奔赶]抗击非典第一线	[奔赴]抗击非典第一线
必需-必须	这篇作文[必需]在今天写好	这篇作文[必须]在今天写好
潮气-朝气	像年青人一样充满[潮气]	像年青人一样充满[朝气]
尘市-城市	一个初入[尘市]的人，他对一切都会感到新鲜	一个初入[城市]的人，他对一切都会感到新鲜
成担-承担	我们敢不敢[成担]	我们敢不敢[承担]
冻疆-冻僵	有一个战士[冻疆]了	有一个战士[冻僵]了
犯触-犯怵	李斌做什么都不[犯触]	李斌做什么都不[犯怵]
刚笔-钢笔	讲台上放着一只漂亮的[刚笔]	讲台上放着一只漂亮的[钢笔]
好拉-好啦	当然是红红[好拉]	当然是红红[好啦]
怀报-怀抱	众多孩子依偎在爸爸、妈妈的[怀报]	众多孩子依偎在爸爸、妈妈的[怀抱]
慌坡-荒坡	耕耘生命的[慌坡]	耕耘生命的[荒坡]
架驶-驾驶	请勿疲劳[架驶]	请勿疲劳[驾驶]
坚苦-艰苦	[坚苦]的工作就像担子，摆在我们面前	[艰苦]的工作就像担子，摆在我们面前
艰持-坚持	老师身体不好，可他[艰持]给我们上课	老师身体不好，可他[坚持]给我们上课
检察-检查	交通管理部门每年对所有行驶的车辆进行认真[检察]	交通管理部门每年对所有行驶的车辆进行认真[检查]
贱男-剑兰	逛完花市后，我花钱买下[贱男]，准备带回家过年	逛完花市后，我花钱买下[剑兰]，准备带回家过年
节束-结束	在欢笑声中，[节束]了这次野游	在欢笑声中，[结束]了这次野游
精采-精彩	欣赏着一个个[精采]的节目	欣赏着一个个[精彩]的节目
竟赛-竞赛	我今天参加了体育[竟赛]	我今天参加了体育[竞赛]
刻服-克服	他[刻服]了重重困难	他[克服]了重重困难
类你-理你	你看我[类你]么	你看我[理你]么
脉博-脉搏	终于，他的[脉博]停止了跳动	终于，他的[脉搏]停止了跳动
朦懂-懵懂	常用一种[朦懂]的眼光看待一切的人，我们称之为孩子	常用一种[懵懂]的眼光看待一切的人，我们称之为孩子
名子-名字	我竟然忘记问他的[名子]	我竟然忘记问他的[名字]
女籽-女子	邪恶的小[女籽]	邪恶的小[女子]
品碑-品牌	父母给你姓名，自己打造[品碑]	父母给你姓名，自己打造[品牌]
迁让-谦让	姐姐从来不[迁让]我	姐姐从来不[谦让]我
青晨-清晨	[青晨]，朝霞染红了蓝天	[清晨]，朝霞染红了蓝天
罄香-清香	有一种[罄香]叫宽容	有一种[清香]叫宽容
绕幸-侥幸	学习不能靠[绕幸]	学习不能靠[侥幸]
首常-首场	内蒙古今年[首常]大雪	内蒙古今年[首场]大雪
台藓-苔藓	踏着青青的[台藓]	踏着青青的[苔藓]
委琬-委婉	思考能使文章鞭辟入里，沉着[委琬]	思考能使文章鞭辟入里，沉着[委婉]
温润-湿润	人们的眼睛[温润]了	人们的眼睛[湿润]了
蚊身-文身	他的手臂上有[蚊身]	他的手臂上有[文身]
无耐-无奈	他在事实面前[无耐]地低下头	他在事实面前[无奈]地低下头
辛福-幸福	我们的生活是[辛福]的	我们的生活是[幸福]的
胸罩-凶兆	昨晚左眼皮跳个不停，当时就觉得那是[胸罩]，果然今天皮夹被扒走了	昨晚左眼皮跳个不停，当时就觉得那是[凶兆]，果然今天皮夹被扒走了
须要-需要	习大大不是说我们国家还[须要]继续进步嘛	习大大不是说我们国家还[需要]继续进步嘛
熏酒-酗酒	昨夜，一男子[熏酒]后躺在马路上	昨夜，一男子[酗酒]后躺在马路上
一枝-一只	那青山碧岭中随风起伏的阵阵林涛声，仿佛是大自然奏响的[一枝]交响乐	那青山碧岭中随风起伏的阵阵林涛声，仿佛是大自然奏响的[一只]交响乐
遗容-仪容	早上起床整里[遗容]后，我们到学校集合，搭车前往垦丁毕业旅行 	早上起床整里[仪容]后，我们到学校集合，搭车前往垦丁毕业旅行 
以经-已经	张教师[以经]六十多岁了	张教师[已经]六十多岁了
意力-毅力	这须要多么大的[意力]	这须要多么大的[毅力]
杂质-杂志	他看[杂质]入了迷	他看[杂志]入了迷
招幕-招募	员工[招幕]中	员工[招募]中
正天-整天	[正天]无优无虑	[整天]无优无虑
支声-吱声	"等哥们回去,吃啥[支声]"	"等哥们回去,吃啥[吱声]"
直觉-自觉	请[直觉]缴纳停车费	请[自觉]缴纳停车费
治癌-致癌	报上说重金属污染过的牡蛎，可[治癌]	报上说重金属污染过的牡蛎，可[致癌]
嘱付-嘱咐	老师[嘱付]我们	老师[嘱咐]我们
装钉-装订	如发现印刷、[装钉]质量有问题的，请将刊物直接寄回印刷厂	如发现印刷、[装订]质量有问题的，请将刊物直接寄回印刷厂
尊守-遵守	自觉[尊守]纪律	自觉[遵守]纪律
作客-做客	来到老友家[作客]	来到老友家[做客]
冰马桶-兵马俑	元旦时，我们全家一起到历史博物馆参观[冰马桶]	元旦时，我们全家一起到历史博物馆参观[兵马俑]
畜电池-蓄电池	风帆[畜电池]亮剑国际市场	风帆[蓄电池]亮剑国际市场
大湿胸-大师兄	"[大湿胸],怎么被动物园放出来了"	"[大师兄],怎么被动物园放出来了"
观常鱼-观赏鱼	妈妈买回来一条热带[观常鱼]	妈妈买回来一条热带[观赏鱼]
急时雨-及时雨	宋江被人称为“[急时雨]”	宋江被人称为“[及时雨]”
来不急-来不及	旅客们连站名还[来不急]看清楚，车站上的一切就立既消失了	旅客们连站名还[来不及]看清楚，车站上的一切就立既消失了
同话书-童话书	丁丁今天带来了一本好看的[同话书]	丁丁今天带来了一本好看的[童话书]
中点站-终点站	江苏常常是罪犯的[中点站]	江苏常常是罪犯的[终点站]
肿么样-怎么样	"[肿么样],不错吧"	"[怎么样],不错吧"
倍受欢迎-备受欢迎	小龙女[倍受欢迎]	小龙女[备受欢迎]
草管人命-草菅人命	封建官吏都能做到“衙斋卧听萧萧竹，疑是民间疾苦声”，作为一个人民法院的法官，怎么能[草管人命]呢	封建官吏都能做到“衙斋卧听萧萧竹，疑是民间疾苦声”，作为一个人民法院的法官，怎么能[草菅人命]呢
察颜观色-察言观色	成熟不再需要对别人[察颜观色]	成熟不再需要对别人[察言观色]
出奇不意-出其不意	小分队绕过后山，第二天晚上，[出奇不意]地出现在观众面前	小分队绕过后山，第二天晚上，[出其不意]地出现在观众面前
穿流不息-川流不息	下午，随着警报响起，空气顿时紧张起来，卫兵[穿流不息]地在院子里进进出出	下午，随着警报响起，空气顿时紧张起来，卫兵[川流不息]地在院子里进进出出
鼎立相助-鼎力相助	去年八月，承兄[鼎立相助]，让我渡过了人生中一大难关。此恩此德，终生难忘	去年八月，承兄[鼎力相助]，让我渡过了人生中一大难关。此恩此德，终生难忘
额首称庆-额手称庆	北平最终获得和平解放，国人[额首称庆]；而梁思成夫妇昼夜圈点禁止炮轰地图一事，则成为民族文化遗产的永久佳话	北平最终获得和平解放，国人[额手称庆]；而梁思成夫妇昼夜圈点禁止炮轰地图一事，则成为民族文化遗产的永久佳话
负案在逃-伏案在逃	果不其然，他是个[负案在逃]的网上通辑犯	果不其然，他是个[伏案在逃]的网上通辑犯
甘败下风-甘拜下风	我输了，好吧。我[甘败下风]	我输了，好吧。我[甘拜下风]
甘拜下风-甘败下风	陈科长的棋艺在厂里首屈一指，但碰到这样一位高人，只能[甘拜下风]	陈科长的棋艺在厂里首屈一指，但碰到这样一位高人，只能[甘败下风]
鬼鬼崇崇-鬼鬼祟祟	据小区保安反映，有两个[鬼鬼崇崇]的家伙，曾到过302室，形迹十分可疑	据小区保安反映，有两个[鬼鬼祟祟]的家伙，曾到过302室，形迹十分可疑
毫不凝迟-毫不疑迟	他[毫不凝迟]地从座位上站了起来	他[毫不疑迟]地从座位上站了起来
花见花栽-花见花载	你真是人见人爱，[花见花栽]	你真是人见人爱，[花见花载]
黄粱美梦-黄粱美梦	毛泽东同志英明决策，“百万雄师过大江”，粉碎了国民党企图以长江为界的[黄粱美梦]	毛泽东同志英明决策，“百万雄师过大江”，粉碎了国民党企图以长江为界的[黄粱美梦]
烩炙人口-脍炙人口	那年诗人复出，犹如一块蓄积了巨大能量的煤熊熊燃烧，写出了一批[烩炙人口]的作品	那年诗人复出，犹如一块蓄积了巨大能量的煤熊熊燃烧，写出了一批[脍炙人口]的作品
活眼金睛-火眼金睛	一位旅客在火车站售票处左顾右盼的行迹没有逃过我公安人员的“[活眼金睛]”	一位旅客在火车站售票处左顾右盼的行迹没有逃过我公安人员的“[火眼金睛]”
夹然而止-戛然而止	声音[夹然而止]	声音[戛然而止]
坚持不解-坚持不懈	他那种[坚持不解]的精神直得大家学习	他那种[坚持不懈]的精神直得大家学习
艰苦奋斗-艰苦奋斗	我们要像雷峰那样，勤检节约，[艰苦奋斗]	我们要像雷峰那样，勤检节约，[艰苦奋斗]
克苦钻研-刻苦钻研	他那种[克苦钻研]的精神直得大家学习	他那种[刻苦钻研]的精神直得大家学习
貌和神离-貌合神离	别看他俩在一起有说有笑的，其实是[貌和神离]	别看他俩在一起有说有笑的，其实是[貌合神离]
凭心而论-平心而论	.[凭心而论]，这些书报质量均属中等以上	.[平心而论]，这些书报质量均属中等以上
破不及待-迫不及待	他们[破不及待]了	他们[迫不及待]了
千幸万苦-千辛万苦	我[千幸万苦]写完了作业	我[千辛万苦]写完了作业
惟妙惟肖-唯妙唯俏	秦兵马俑[惟妙惟肖]地模拟阵列的排列	秦兵马俑[唯妙唯俏]地模拟阵列的排列
无动于忠-无动于衷	请你不要对什么事都[无动于忠]	请你不要对什么事都[无动于衷]
再接再历-再接再厉	成功的另一个名字叫[再接再历]	成功的另一个名字叫[再接再厉]
自报自弃-自暴自弃	他[自报自弃]了	他[自暴自弃]了
